ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
109410218,Devlet,TRAKYA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,102,1,103,---,"% 100,0",---,---,"321,07525",---,"412,59981",150.375,---,8,"426,041","85,2"
109490232,Devlet,TRAKYA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
110210718,Devlet,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",2,2,"287,70060",---,"418,83791",217.227,---,7,"401,278","80,3"
110110252,Devlet,YILDIZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,140,4,144,140,4,144,---,"% 100,0",---,---,"426,53422",---,"474,62865",45.339,---,4,"446,367","89,3"
110110482,Devlet,YILDIZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",---,---,"444,56592",---,"470,42937",33.587,---,---,"452,502","90,5"
102310107,Devlet,YOZGAT BOZOK ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,46,---,46,36,"% 56,1",3,8,Dolmadı,---,"363,72376",Dolmadı,---,6,"407,548","81,5"
206990054,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"328,98801",---,"342,74685",138.299,---,---,"413,963","82,8"
206990055,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,26,---,26,8,---,8,18,"% 30,8",---,---,Dolmadı,---,"328,41766",Dolmadı,---,2,"375,988","75,2"
206990056,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
206910027,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"350,31239",---,"375,29195",111.113,---,---,"436,563","87,3"
206910045,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,30,---,30,6,---,6,24,"% 20,0",---,---,Dolmadı,---,"333,86554",Dolmadı,---,---,"411,067","82,2"
206910054,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,6,---,6,0,---,---,6,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
